"Time","Sensor1","Sensor2","Sensor3"
2024-08-01 00:00:00,7.8,5.1,4.3
2024-08-01 00:10:00,4,5.2,4
2024-08-01 00:20:00,4,7.8,4.1
2024-08-01 00:30:00,18,10,4.4
2024-08-01 00:40:00,11,11,7.1
2024-08-01 00:50:00,7.7,12,4.5
2024-08-01 01:00:00,5.2,12,4
2024-08-01 01:10:00,,15,4.1
2024-08-01 01:20:00,10,11,4.4
2024-08-01 01:30:00,5.5,11,5.6
2024-08-01 01:40:00,9,8.5,5.4
2024-08-01 01:50:00,7.7,7.8,3.7
2024-08-01 02:00:00,4.4,6.2,3.9
2024-08-01 02:10:00,6.1,6,7.7
2024-08-01 02:20:00,13,7.3,2.9
2024-08-01 02:30:00,8.9,9.7,4.2
2024-08-01 02:40:00,13,7.2,5.8
2024-08-01 02:50:00,6.2,12,4.5
2024-08-01 03:00:00,6.1,12,3.8
2024-08-01 03:10:00,8.3,11,5.1
2024-08-01 03:20:00,11,15,5.6
2024-08-01 03:30:00,16,8.2,6.9
2024-08-01 03:40:00,8.6,16,5.8
2024-08-01 03:50:00,9.2,9.9,6
2024-08-01 04:00:00,12,7.5,5.2
2024-08-01 04:10:00,16,14,4.3
2024-08-01 04:20:00,8.6,9.7,5.4
2024-08-01 04:30:00,8.1,11,6.7
2024-08-01 04:40:00,10,6.9,5.9
2024-08-01 04:50:00,16,7.2,8.5
2024-08-01 05:00:00,8.1,8.2,5.6
2024-08-01 05:10:00,11,17,7.9
2024-08-01 05:20:00,8.6,8.3,6.6
2024-08-01 05:30:00,6.1,9.6,4
2024-08-01 05:40:00,7.9,11,5.1
2024-08-01 05:50:00,19,14,8
2024-08-01 06:00:00,11,16,7.6
2024-08-01 06:10:00,9.1,16,10
2024-08-01 06:20:00,6.5,12,9
2024-08-01 06:30:00,10,12,8.1
2024-08-01 06:40:00,10,12,11
2024-08-01 06:50:00,21,10,13
2024-08-01 07:00:00,20,14,9.1
2024-08-01 07:10:00,16,11,13
2024-08-01 07:20:00,18,14,8.6
2024-08-01 07:30:00,23,14,5.7
2024-08-01 07:40:00,23,20,6.2
2024-08-01 07:50:00,14,13,
2024-08-01 08:00:00,18,13,5.1
2024-08-01 08:10:00,11,12,6.7
2024-08-01 08:20:00,9.5,8.3,8.2
2024-08-01 08:30:00,16,12,
2024-08-01 08:40:00,12,13,5.7
2024-08-01 08:50:00,5.4,5.8,5.7
2024-08-01 09:00:00,3.8,11,5.5
2024-08-01 09:10:00,4.5,6.5,5.3
2024-08-01 09:20:00,4.8,6.8,3
2024-08-01 09:30:00,5.8,5.1,4.2
2024-08-01 09:40:00,8,4.1,3.5
2024-08-01 09:50:00,6.1,6.5,4.6
2024-08-01 10:00:00,5.8,5.8,6.4
2024-08-01 10:10:00,4.5,5.3,4.1
2024-08-01 10:20:00,4.5,7.2,4.3
2024-08-01 10:30:00,2.9,,3.7
2024-08-01 10:40:00,5.4,3.6,4
2024-08-01 10:50:00,5.1,6.9,5.5
2024-08-01 11:00:00,2.4,5.6,3.5
2024-08-01 11:10:00,5.5,4.6,
2024-08-01 11:20:00,4.7,4,3.2
2024-08-01 11:30:00,3.8,5.8,4.5
2024-08-01 11:40:00,4.5,4,6.3
2024-08-01 11:50:00,5.1,4.2,9.1
2024-08-01 12:00:00,3.3,3.4,4.2
2024-08-01 12:10:00,2.9,8.8,4.5
2024-08-01 12:20:00,7.3,4,5.1
2024-08-01 12:30:00,3.4,4.5,1.8
2024-08-01 12:40:00,4.8,11,4.5
2024-08-01 12:50:00,5.1,7.4,2.7
2024-08-01 13:00:00,3.3,4.9,2.8
2024-08-01 13:10:00,2.9,5.2,2.9
2024-08-01 13:20:00,1.8,5.4,7
2024-08-01 13:30:00,2.9,5,4.6
2024-08-01 13:40:00,,4.3,3.4
2024-08-01 13:50:00,5.4,6.3,3.5
2024-08-01 14:00:00,3.6,3.9,1.9
2024-08-01 14:10:00,4.1,4.5,3.5
2024-08-01 14:20:00,2.9,3.4,2.5
2024-08-01 14:30:00,3.1,2.8,3.8
2024-08-01 14:40:00,3.4,4.2,2.5
2024-08-01 14:50:00,2,2.8,5.8
2024-08-01 15:00:00,,4.2,3.2
2024-08-01 15:10:00,3.1,2.8,3.8
2024-08-01 15:20:00,4,7,3
2024-08-01 15:30:00,4.6,4.8,4
2024-08-01 15:40:00,6.6,4.2,3.9
2024-08-01 15:50:00,6,7.5,5.7
2024-08-01 16:00:00,9.4,4.7,4.1
2024-08-01 16:10:00,6.5,5.5,4.1
2024-08-01 16:20:00,4.3,5.4,4.1
2024-08-01 16:30:00,3.4,5.9,3
2024-08-01 16:40:00,3.5,8.4,3.3
2024-08-01 16:50:00,7.2,6.2,3.8
2024-08-01 17:00:00,5.7,6.5,2.7
2024-08-01 17:10:00,4.3,4.9,2.5
