datetime,value,areaAnalisi
2024-08-15 23:45:00,145561,Intero Comune
2024-08-15 23:45:00,9329,Cagliari - 008
2024-08-15 23:45:00,7954,Cagliari - 011
2024-08-15 23:45:00,7085,Cagliari - 007
2024-08-15 23:45:00,15030,Cagliari - 010
2024-08-15 23:45:00,12653,Cagliari - 009
2024-08-15 23:45:00,5425,Cagliari - 012
2024-08-15 23:45:00,11173,Cagliari - 005
2024-08-15 23:45:00,9083,Cagliari - 006
2024-08-15 23:45:00,12332,Cagliari - 002
2024-08-15 23:45:00,2810,Cagliari - 003
2024-08-15 23:45:00,13519,Cagliari - 004
2024-08-15 23:45:00,23935,Cagliari - 001
2024-08-15 23:45:00,15233,Cagliari - 000
2024-08-15 23:30:00,146242,Intero Comune
2024-08-15 23:30:00,9275,Cagliari - 008
2024-08-15 23:30:00,8007,Cagliari - 011
2024-08-15 23:30:00,7091,Cagliari - 007
2024-08-15 23:30:00,15350,Cagliari - 010
2024-08-15 23:30:00,12538,Cagliari - 009
2024-08-15 23:30:00,5696,Cagliari - 012
2024-08-15 23:30:00,11103,Cagliari - 005
2024-08-15 23:30:00,8997,Cagliari - 006
2024-08-15 23:30:00,12195,Cagliari - 002
2024-08-15 23:30:00,2819,Cagliari - 003
2024-08-15 23:30:00,13409,Cagliari - 004
2024-08-15 23:30:00,24290,Cagliari - 001
2024-08-15 23:30:00,15472,Cagliari - 000
2024-08-15 23:15:00,146724,Intero Comune
2024-08-15 23:15:00,9207,Cagliari - 008
2024-08-15 23:15:00,8119,Cagliari - 011
2024-08-15 23:15:00,7035,Cagliari - 007
2024-08-15 23:15:00,15402,Cagliari - 010
2024-08-15 23:15:00,12535,Cagliari - 009
2024-08-15 23:15:00,6132,Cagliari - 012
2024-08-15 23:15:00,11047,Cagliari - 005
2024-08-15 23:15:00,8807,Cagliari - 006
2024-08-15 23:15:00,11998,Cagliari - 002
2024-08-15 23:15:00,2785,Cagliari - 003
2024-08-15 23:15:00,13353,Cagliari - 004
2024-08-15 23:15:00,24838,Cagliari - 001
2024-08-15 23:15:00,15466,Cagliari - 000
2024-08-15 23:00:00,146895,Intero Comune
2024-08-15 23:00:00,9140,Cagliari - 008
2024-08-15 23:00:00,8081,Cagliari - 011
2024-08-15 23:00:00,6946,Cagliari - 007
2024-08-15 23:00:00,15391,Cagliari - 010
2024-08-15 23:00:00,12395,Cagliari - 009
2024-08-15 23:00:00,6365,Cagliari - 012
2024-08-15 23:00:00,10958,Cagliari - 005
2024-08-15 23:00:00,8798,Cagliari - 006
2024-08-15 23:00:00,11848,Cagliari - 002
2024-08-15 23:00:00,2721,Cagliari - 003
2024-08-15 23:00:00,13298,Cagliari - 004
2024-08-15 23:00:00,25307,Cagliari - 001
2024-08-15 23:00:00,15647,Cagliari - 000
2024-08-15 22:45:00,148134,Intero Comune
2024-08-15 22:45:00,9020,Cagliari - 008
2024-08-15 22:45:00,8283,Cagliari - 011
2024-08-15 22:45:00,6975,Cagliari - 007
2024-08-15 22:45:00,15667,Cagliari - 010
2024-08-15 22:45:00,12329,Cagliari - 009
2024-08-15 22:45:00,6895,Cagliari - 012
2024-08-15 22:45:00,10850,Cagliari - 005
2024-08-15 22:45:00,8705,Cagliari - 006
2024-08-15 22:45:00,11848,Cagliari - 002
2024-08-15 22:45:00,2710,Cagliari - 003
2024-08-15 22:45:00,13151,Cagliari - 004
2024-08-15 22:45:00,25868,Cagliari - 001
2024-08-15 22:45:00,15833,Cagliari - 000
2024-08-15 22:30:00,148650,Intero Comune
2024-08-15 22:30:00,8986,Cagliari - 008
2024-08-15 22:30:00,8481,Cagliari - 011
2024-08-15 22:30:00,7016,Cagliari - 007
2024-08-15 22:30:00,15750,Cagliari - 010
2024-08-15 22:30:00,12412,Cagliari - 009
2024-08-15 22:30:00,7394,Cagliari - 012
2024-08-15 22:30:00,10661,Cagliari - 005
2024-08-15 22:30:00,8549,Cagliari - 006
2024-08-15 22:30:00,11588,Cagliari - 002
2024-08-15 22:30:00,2660,Cagliari - 003
2024-08-15 22:30:00,12934,Cagliari - 004
2024-08-15 22:30:00,26313,Cagliari - 001
2024-08-15 22:30:00,15906,Cagliari - 000
2024-08-15 22:15:00,148646,Intero Comune
2024-08-15 22:15:00,8955,Cagliari - 008
2024-08-15 22:15:00,8342,Cagliari - 011
2024-08-15 22:15:00,6949,Cagliari - 007
2024-08-15 22:15:00,15848,Cagliari - 010
2024-08-15 22:15:00,12339,Cagliari - 009
2024-08-15 22:15:00,7611,Cagliari - 012
2024-08-15 22:15:00,10524,Cagliari - 005
2024-08-15 22:15:00,8391,Cagliari - 006
2024-08-15 22:15:00,11499,Cagliari - 002
2024-08-15 22:15:00,2672,Cagliari - 003
2024-08-15 22:15:00,12893,Cagliari - 004
2024-08-15 22:15:00,26407,Cagliari - 001
2024-08-15 22:15:00,16216,Cagliari - 000
2024-08-15 22:00:00,148314,Intero Comune
2024-08-15 22:00:00,8923,Cagliari - 008
2024-08-15 22:00:00,8311,Cagliari - 011
2024-08-15 22:00:00,6907,Cagliari - 007
2024-08-15 22:00:00,15814,Cagliari - 010
2024-08-15 22:00:00,12187,Cagliari - 009
2024-08-15 22:00:00,7503,Cagliari - 012
2024-08-15 22:00:00,10493,Cagliari - 005
2024-08-15 22:00:00,8355,Cagliari - 006
2024-08-15 22:00:00,11545,Cagliari - 002
2024-08-15 22:00:00,2667,Cagliari - 003
2024-08-15 22:00:00,12854,Cagliari - 004
2024-08-15 22:00:00,26516,Cagliari - 001
2024-08-15 22:00:00,16239,Cagliari - 000
2024-08-15 21:45:00,148259,Intero Comune
2024-08-15 21:45:00,8764,Cagliari - 008
2024-08-15 21:45:00,8302,Cagliari - 011
2024-08-15 21:45:00,6919,Cagliari - 007
