datetime,value,areaAnalisi
2024-09-15 23:45:00,180758,Intero Comune
2024-09-15 23:45:00,18983,Cagliari - 010
2024-09-15 23:45:00,17378,Cagliari - 004
2024-09-15 23:45:00,18767,Cagliari - 009
2024-09-15 23:45:00,12388,Cagliari - 008
2024-09-15 23:45:00,11510,Cagliari - 006
2024-09-15 23:45:00,9531,Cagliari - 007
2024-09-15 23:45:00,4651,Cagliari - 012
2024-09-15 23:45:00,9215,Cagliari - 011
2024-09-15 23:45:00,15872,Cagliari - 002
2024-09-15 23:45:00,17450,Cagliari - 000
2024-09-15 23:45:00,3358,Cagliari - 003
2024-09-15 23:45:00,14182,Cagliari - 005
2024-09-15 23:45:00,27473,Cagliari - 001
2024-09-15 23:30:00,180897,Intero Comune
2024-09-15 23:30:00,19128,Cagliari - 010
2024-09-15 23:30:00,17290,Cagliari - 004
2024-09-15 23:30:00,18672,Cagliari - 009
2024-09-15 23:30:00,12328,Cagliari - 008
2024-09-15 23:30:00,11502,Cagliari - 006
2024-09-15 23:30:00,9530,Cagliari - 007
2024-09-15 23:30:00,4593,Cagliari - 012
2024-09-15 23:30:00,9327,Cagliari - 011
2024-09-15 23:30:00,15816,Cagliari - 002
2024-09-15 23:30:00,17561,Cagliari - 000
2024-09-15 23:30:00,3378,Cagliari - 003
2024-09-15 23:30:00,14059,Cagliari - 005
2024-09-15 23:30:00,27713,Cagliari - 001
2024-09-15 23:15:00,181340,Intero Comune
2024-09-15 23:15:00,19364,Cagliari - 010
2024-09-15 23:15:00,17162,Cagliari - 004
2024-09-15 23:15:00,18530,Cagliari - 009
2024-09-15 23:15:00,12377,Cagliari - 008
2024-09-15 23:15:00,11499,Cagliari - 006
2024-09-15 23:15:00,9520,Cagliari - 007
2024-09-15 23:15:00,4638,Cagliari - 012
2024-09-15 23:15:00,9338,Cagliari - 011
2024-09-15 23:15:00,15843,Cagliari - 002
2024-09-15 23:15:00,17544,Cagliari - 000
2024-09-15 23:15:00,3378,Cagliari - 003
2024-09-15 23:15:00,13988,Cagliari - 005
2024-09-15 23:15:00,28159,Cagliari - 001
2024-09-15 23:00:00,181354,Intero Comune
