datetime,value,areaAnalisi
2024-08-01 23:45:00,171783,Intero Comune
2024-08-01 23:45:00,8823,Cagliari - 011
2024-08-01 23:45:00,16795,Cagliari - 004
2024-08-01 23:45:00,16926,Cagliari - 009
2024-08-01 23:45:00,12083,Cagliari - 006
2024-08-01 23:45:00,8713,Cagliari - 007
2024-08-01 23:45:00,14106,Cagliari - 005
2024-08-01 23:45:00,4990,Cagliari - 012
2024-08-01 23:45:00,12360,Cagliari - 008
2024-08-01 23:45:00,15239,Cagliari - 002
2024-08-01 23:45:00,3369,Cagliari - 003
2024-08-01 23:45:00,17246,Cagliari - 010
2024-08-01 23:45:00,23596,Cagliari - 001
2024-08-01 23:45:00,17537,Cagliari - 000
2024-08-01 23:30:00,172099,Intero Comune
2024-08-01 23:30:00,8927,Cagliari - 011
2024-08-01 23:30:00,16835,Cagliari - 004
2024-08-01 23:30:00,16858,Cagliari - 009
2024-08-01 23:30:00,12104,Cagliari - 006
2024-08-01 23:30:00,8661,Cagliari - 007
2024-08-01 23:30:00,14071,Cagliari - 005
2024-08-01 23:30:00,5051,Cagliari - 012
2024-08-01 23:30:00,12271,Cagliari - 008
2024-08-01 23:30:00,15263,Cagliari - 002
2024-08-01 23:30:00,3396,Cagliari - 003
2024-08-01 23:30:00,17294,Cagliari - 010
2024-08-01 23:30:00,23743,Cagliari - 001
2024-08-01 23:30:00,17625,Cagliari - 000
2024-08-01 23:15:00,172746,Intero Comune
2024-08-01 23:15:00,8960,Cagliari - 011
2024-08-01 23:15:00,16740,Cagliari - 004
2024-08-01 23:15:00,16987,Cagliari - 009
2024-08-01 23:15:00,12087,Cagliari - 006
2024-08-01 23:15:00,8548,Cagliari - 007
2024-08-01 23:15:00,14107,Cagliari - 005
2024-08-01 23:15:00,5185,Cagliari - 012
2024-08-01 23:15:00,12286,Cagliari - 008
2024-08-01 23:15:00,15263,Cagliari - 002
2024-08-01 23:15:00,3373,Cagliari - 003
2024-08-01 23:15:00,17348,Cagliari - 010
2024-08-01 23:15:00,24117,Cagliari - 001
2024-08-01 23:15:00,17745,Cagliari - 000
2024-08-01 23:00:00,173284,Intero Comune
2024-08-01 23:00:00,9060,Cagliari - 011
2024-08-01 23:00:00,16696,Cagliari - 004
2024-08-01 23:00:00,16840,Cagliari - 009
2024-08-01 23:00:00,12131,Cagliari - 006
2024-08-01 23:00:00,8603,Cagliari - 007
2024-08-01 23:00:00,14011,Cagliari - 005
2024-08-01 23:00:00,5344,Cagliari - 012
2024-08-01 23:00:00,12250,Cagliari - 008
2024-08-01 23:00:00,15334,Cagliari - 002
2024-08-01 23:00:00,3337,Cagliari - 003
2024-08-01 23:00:00,17440,Cagliari - 010
2024-08-01 23:00:00,24383,Cagliari - 001
2024-08-01 23:00:00,17855,Cagliari - 000
2024-08-01 22:45:00,174205,Intero Comune
2024-08-01 22:45:00,9135,Cagliari - 011
2024-08-01 22:45:00,16585,Cagliari - 004
2024-08-01 22:45:00,16965,Cagliari - 009
2024-08-01 22:45:00,12118,Cagliari - 006
2024-08-01 22:45:00,8581,Cagliari - 007
2024-08-01 22:45:00,14058,Cagliari - 005
2024-08-01 22:45:00,5490,Cagliari - 012
2024-08-01 22:45:00,12207,Cagliari - 008
2024-08-01 22:45:00,15357,Cagliari - 002
2024-08-01 22:45:00,3350,Cagliari - 003
2024-08-01 22:45:00,17600,Cagliari - 010
