datetime,value,areaAnalisi
2024-08-01 00:00:00,174158.75,Intero Comune
2024-08-01 01:00:00,172630.75,Intero Comune
2024-08-01 02:00:00,170736.0,Intero Comune
2024-08-01 03:00:00,168996.25,Intero Comune
2024-08-01 04:00:00,168950.0,Intero Comune
2024-08-01 05:00:00,172983.25,Intero Comune
2024-08-01 06:00:00,184063.5,Intero Comune
2024-08-01 07:00:00,193730.5,Intero Comune
2024-08-01 08:00:00,198060.0,Intero Comune
2024-08-01 09:00:00,198646.0,Intero Comune
2024-08-01 10:00:00,197035.75,Intero Comune
2024-08-01 11:00:00,194396.25,Intero Comune
2024-08-01 12:00:00,191118.5,Intero Comune
2024-08-01 13:00:00,188925.25,Intero Comune
2024-08-01 14:00:00,188031.75,Intero Comune
2024-08-01 15:00:00,186155.5,Intero Comune
2024-08-01 16:00:00,184586.25,Intero Comune
2024-08-01 17:00:00,182722.75,Intero Comune
2024-08-01 18:00:00,181580.0,Intero Comune
2024-08-01 19:00:00,180960.25,Intero Comune
2024-08-01 20:00:00,179921.25,Intero Comune
2024-08-01 21:00:00,178088.25,Intero Comune
2024-08-01 22:00:00,175045.0,Intero Comune
2024-08-01 23:00:00,172478.0,Intero Comune
2024-08-02 00:00:00,175045.0,Intero Comune
2024-08-02 01:00:00,172478.0,Intero Comune
2024-08-02 02:00:00,171283.75,Intero Comune
2024-08-02 03:00:00,170383.0,Intero Comune
2024-08-02 04:00:00,169481.5,Intero Comune
2024-08-02 05:00:00,168267.0,Intero Comune
2024-08-02 06:00:00,168168.0,Intero Comune
2024-08-02 07:00:00,172624.75,Intero Comune
2024-08-02 08:00:00,182653.5,Intero Comune
2024-08-02 09:00:00,190185.25,Intero Comune
2024-08-02 10:00:00,193887.5,Intero Comune
2024-08-02 11:00:00,194230.25,Intero Comune
2024-08-02 12:00:00,191947.5,Intero Comune
2024-08-02 13:00:00,188286.75,Intero Comune
2024-08-02 14:00:00,182977.5,Intero Comune
2024-08-02 15:00:00,180057.75,Intero Comune
2024-08-02 16:00:00,178487.5,Intero Comune
2024-08-02 17:00:00,176873.5,Intero Comune
2024-08-02 18:00:00,175578.75,Intero Comune
2024-08-02 19:00:00,174931.25,Intero Comune
2024-08-02 20:00:00,174616.0,Intero Comune
2024-08-02 21:00:00,174042.0,Intero Comune
2024-08-02 22:00:00,173142.5,Intero Comune
2024-08-02 23:00:00,171059.0,Intero Comune
2024-08-03 00:00:00,163716.5,Intero Comune
2024-08-03 01:00:00,161911.0,Intero Comune
2024-08-03 02:00:00,160490.75,Intero Comune
2024-08-03 03:00:00,159301.0,Intero Comune
2024-08-03 04:00:00,158151.75,Intero Comune
2024-08-03 05:00:00,157599.0,Intero Comune
2024-08-03 06:00:00,158514.0,Intero Comune
2024-08-03 07:00:00,159879.5,Intero Comune
2024-08-03 08:00:00,162010.5,Intero Comune
2024-08-03 09:00:00,162334.0,Intero Comune
2024-08-03 10:00:00,160218.0,Intero Comune
2024-08-03 11:00:00,157885.25,Intero Comune
2024-08-03 12:00:00,156127.5,Intero Comune
2024-08-03 13:00:00,153934.25,Intero Comune
2024-08-03 14:00:00,152488.75,Intero Comune
2024-08-03 15:00:00,152801.25,Intero Comune
2024-08-03 16:00:00,152899.25,Intero Comune
2024-08-03 17:00:00,155536.75,Intero Comune
2024-08-03 18:00:00,159105.75,Intero Comune
2024-08-03 19:00:00,162109.75,Intero Comune
2024-08-03 20:00:00,162002.75,Intero Comune
2024-08-03 21:00:00,160442.5,Intero Comune
2024-08-03 22:00:00,157725.75,Intero Comune
2024-08-03 23:00:00,155554.75,Intero Comune
2024-08-04 00:00:00,157725.75,Intero Comune
2024-08-04 01:00:00,155554.75,Intero Comune
2024-08-04 02:00:00,153885.5,Intero Comune
2024-08-04 03:00:00,152307.5,Intero Comune
2024-08-04 04:00:00,151219.0,Intero Comune
2024-08-04 05:00:00,150686.5,Intero Comune
2024-08-04 06:00:00,151328.5,Intero Comune
2024-08-04 07:00:00,151431.0,Intero Comune
2024-08-04 08:00:00,151909.25,Intero Comune
2024-08-04 09:00:00,151779.25,Intero Comune
2024-08-04 10:00:00,150197.75,Intero Comune
2024-08-04 11:00:00,148693.25,Intero Comune
2024-08-04 12:00:00,146324.75,Intero Comune
2024-08-04 13:00:00,146165.0,Intero Comune
2024-08-04 14:00:00,145837.75,Intero Comune
2024-08-04 15:00:00,145147.5,Intero Comune
2024-08-04 16:00:00,144871.25,Intero Comune
2024-08-04 17:00:00,145864.0,Intero Comune
2024-08-04 18:00:00,147867.5,Intero Comune
2024-08-04 19:00:00,152515.25,Intero Comune
2024-08-04 20:00:00,157360.25,Intero Comune
2024-08-04 21:00:00,161970.5,Intero Comune
2024-08-04 22:00:00,163232.25,Intero Comune
2024-08-04 23:00:00,162558.5,Intero Comune
2024-08-05 00:00:00,159025.0,Intero Comune
2024-08-05 01:00:00,158373.25,Intero Comune
2024-08-05 02:00:00,157883.75,Intero Comune
2024-08-05 03:00:00,156797.0,Intero Comune
2024-08-05 04:00:00,157009.5,Intero Comune
2024-08-05 05:00:00,162070.5,Intero Comune
2024-08-05 06:00:00,172560.75,Intero Comune
2024-08-05 07:00:00,179948.75,Intero Comune
2024-08-05 08:00:00,184098.5,Intero Comune
2024-08-05 09:00:00,185635.5,Intero Comune
2024-08-05 10:00:00,185810.0,Intero Comune
2024-08-05 11:00:00,184147.25,Intero Comune
2024-08-05 12:00:00,180823.25,Intero Comune
2024-08-05 13:00:00,179196.25,Intero Comune
2024-08-05 14:00:00,178923.0,Intero Comune
2024-08-05 15:00:00,177512.75,Intero Comune
2024-08-05 16:00:00,176834.5,Intero Comune
2024-08-05 17:00:00,176693.5,Intero Comune
2024-08-05 18:00:00,176013.25,Intero Comune
2024-08-05 19:00:00,174316.25,Intero Comune
2024-08-05 20:00:00,173590.5,Intero Comune
2024-08-05 21:00:00,171763.5,Intero Comune
2024-08-05 22:00:00,169277.25,Intero Comune
2024-08-05 23:00:00,166977.0,Intero Comune
2024-08-06 00:00:00,165541.75,Intero Comune
2024-08-06 01:00:00,165201.75,Intero Comune
2024-08-06 02:00:00,164425.5,Intero Comune
2024-08-06 03:00:00,163112.75,Intero Comune
2024-08-06 04:00:00,164222.75,Intero Comune
2024-08-06 05:00:00,171122.75,Intero Comune
2024-08-06 06:00:00,184005.0,Intero Comune
2024-08-06 07:00:00,193949.25,Intero Comune
2024-08-06 08:00:00,199418.5,Intero Comune
2024-08-06 09:00:00,200092.0,Intero Comune
2024-08-06 10:00:00,199313.75,Intero Comune
2024-08-06 11:00:00,196805.75,Intero Comune
2024-08-06 12:00:00,194492.25,Intero Comune
2024-08-06 13:00:00,193675.0,Intero Comune
2024-08-06 14:00:00,193156.75,Intero Comune
2024-08-06 15:00:00,187710.5,Intero Comune
2024-08-06 16:00:00,184688.5,Intero Comune
2024-08-06 17:00:00,183436.25,Intero Comune
2024-08-06 18:00:00,182836.75,Intero Comune
2024-08-06 19:00:00,181926.75,Intero Comune
2024-08-06 20:00:00,180615.75,Intero Comune
2024-08-06 21:00:00,178872.0,Intero Comune
2024-08-06 22:00:00,175172.25,Intero Comune
2024-08-06 23:00:00,171826.0,Intero Comune
2024-08-07 00:00:00,175172.25,Intero Comune
2024-08-07 01:00:00,171826.0,Intero Comune
2024-08-07 02:00:00,169941.0,Intero Comune
2024-08-07 03:00:00,167879.25,Intero Comune
2024-08-07 04:00:00,164952.75,Intero Comune
2024-08-07 05:00:00,163149.5,Intero Comune
2024-08-07 06:00:00,162875.75,Intero Comune
2024-08-07 07:00:00,167094.75,Intero Comune
2024-08-07 08:00:00,176582.0,Intero Comune
2024-08-07 09:00:00,183980.75,Intero Comune
2024-08-07 10:00:00,186940.75,Intero Comune
2024-08-07 11:00:00,188737.0,Intero Comune
2024-08-07 12:00:00,188520.5,Intero Comune
2024-08-07 13:00:00,186002.5,Intero Comune
2024-08-07 14:00:00,182601.25,Intero Comune
2024-08-07 15:00:00,180425.25,Intero Comune
2024-08-07 16:00:00,179596.0,Intero Comune
2024-08-07 17:00:00,177401.75,Intero Comune
2024-08-07 18:00:00,176411.0,Intero Comune
2024-08-07 19:00:00,176758.25,Intero Comune
2024-08-07 20:00:00,176100.5,Intero Comune
2024-08-07 21:00:00,175106.25,Intero Comune
2024-08-07 22:00:00,173404.0,Intero Comune
2024-08-07 23:00:00,172323.5,Intero Comune
2024-08-08 00:00:00,166647.5,Intero Comune
2024-08-08 01:00:00,165717.0,Intero Comune
2024-08-08 02:00:00,164542.5,Intero Comune
2024-08-08 03:00:00,163337.0,Intero Comune
2024-08-08 04:00:00,163188.75,Intero Comune
2024-08-08 05:00:00,167623.75,Intero Comune
2024-08-08 06:00:00,178331.5,Intero Comune
2024-08-08 07:00:00,187633.5,Intero Comune
2024-08-08 08:00:00,192925.0,Intero Comune
2024-08-08 09:00:00,193410.0,Intero Comune
2024-08-08 10:00:00,192377.75,Intero Comune
2024-08-08 11:00:00,191446.75,Intero Comune
2024-08-08 12:00:00,188160.5,Intero Comune
2024-08-08 13:00:00,186781.75,Intero Comune
2024-08-08 14:00:00,184945.0,Intero Comune
2024-08-08 15:00:00,182467.0,Intero Comune
2024-08-08 16:00:00,179522.25,Intero Comune
2024-08-08 17:00:00,178548.5,Intero Comune
2024-08-08 18:00:00,178171.25,Intero Comune
2024-08-08 19:00:00,178427.5,Intero Comune
2024-08-08 20:00:00,177320.0,Intero Comune
2024-08-08 21:00:00,175226.25,Intero Comune
2024-08-08 22:00:00,172046.75,Intero Comune
2024-08-08 23:00:00,168721.5,Intero Comune
2024-08-09 00:00:00,166492.25,Intero Comune
