datetime,value,areaAnalisi
2024-08-01 00:00:00,174572.5,Intero Comune
2024-08-01 00:30:00,173745.0,Intero Comune
2024-08-01 01:00:00,173055.0,Intero Comune
2024-08-01 01:30:00,172206.5,Intero Comune
2024-08-01 02:00:00,171271.0,Intero Comune
2024-08-01 02:30:00,170201.0,Intero Comune
2024-08-01 03:00:00,169232.5,Intero Comune
2024-08-01 03:30:00,168760.0,Intero Comune
2024-08-01 04:00:00,168732.0,Intero Comune
2024-08-01 04:30:00,169168.0,Intero Comune
2024-08-01 05:00:00,170704.0,Intero Comune
2024-08-01 05:30:00,175262.5,Intero Comune
2024-08-01 06:00:00,181240.0,Intero Comune
2024-08-01 06:30:00,186887.0,Intero Comune
2024-08-01 07:00:00,192050.5,Intero Comune
2024-08-01 07:30:00,195410.5,Intero Comune
2024-08-01 08:00:00,197473.5,Intero Comune
2024-08-01 08:30:00,198646.5,Intero Comune
2024-08-01 09:00:00,198609.5,Intero Comune
2024-08-01 09:30:00,198682.5,Intero Comune
2024-08-01 10:00:00,197656.0,Intero Comune
2024-08-01 10:30:00,196415.5,Intero Comune
2024-08-01 11:00:00,195345.5,Intero Comune
2024-08-01 11:30:00,193447.0,Intero Comune
2024-08-01 12:00:00,191909.5,Intero Comune
2024-08-01 12:30:00,190327.5,Intero Comune
2024-08-01 13:00:00,189359.0,Intero Comune
2024-08-01 13:30:00,188491.5,Intero Comune
2024-08-01 14:00:00,188256.5,Intero Comune
2024-08-01 14:30:00,187807.0,Intero Comune
2024-08-01 15:00:00,186908.5,Intero Comune
2024-08-01 15:30:00,185402.5,Intero Comune
2024-08-01 16:00:00,184919.0,Intero Comune
2024-08-01 16:30:00,184253.5,Intero Comune
2024-08-01 17:00:00,183345.5,Intero Comune
2024-08-01 17:30:00,182100.0,Intero Comune
2024-08-01 18:00:00,181777.0,Intero Comune
2024-08-01 18:30:00,181383.0,Intero Comune
2024-08-01 19:00:00,180967.0,Intero Comune
2024-08-01 19:30:00,180953.5,Intero Comune
2024-08-01 20:00:00,180268.0,Intero Comune
2024-08-01 20:30:00,179574.5,Intero Comune
2024-08-01 21:00:00,178715.0,Intero Comune
2024-08-01 21:30:00,177461.5,Intero Comune
2024-08-01 22:00:00,175522.5,Intero Comune
2024-08-01 22:30:00,174567.5,Intero Comune
2024-08-01 23:00:00,173015.0,Intero Comune
2024-08-01 23:30:00,171941.0,Intero Comune
2024-08-02 00:00:00,175522.5,Intero Comune
2024-08-02 00:30:00,174567.5,Intero Comune
2024-08-02 01:00:00,173015.0,Intero Comune
2024-08-02 01:30:00,171941.0,Intero Comune
2024-08-02 02:00:00,171607.0,Intero Comune
2024-08-02 02:30:00,170960.5,Intero Comune
2024-08-02 03:00:00,170462.5,Intero Comune
2024-08-02 03:30:00,170303.5,Intero Comune
2024-08-02 04:00:00,169797.0,Intero Comune
2024-08-02 04:30:00,169166.0,Intero Comune
2024-08-02 05:00:00,168604.5,Intero Comune
2024-08-02 05:30:00,167929.5,Intero Comune
2024-08-02 06:00:00,167883.5,Intero Comune
2024-08-02 06:30:00,168452.5,Intero Comune
2024-08-02 07:00:00,170354.0,Intero Comune
2024-08-02 07:30:00,174895.5,Intero Comune
2024-08-02 08:00:00,180439.0,Intero Comune
2024-08-02 08:30:00,184868.0,Intero Comune
2024-08-02 09:00:00,189041.5,Intero Comune
2024-08-02 09:30:00,191329.0,Intero Comune
2024-08-02 10:00:00,193261.0,Intero Comune
2024-08-02 10:30:00,194514.0,Intero Comune
2024-08-02 11:00:00,194420.0,Intero Comune
2024-08-02 11:30:00,194040.5,Intero Comune
2024-08-02 12:00:00,192711.0,Intero Comune
2024-08-02 12:30:00,191184.0,Intero Comune
2024-08-02 13:00:00,189484.0,Intero Comune
2024-08-02 13:30:00,187089.5,Intero Comune
2024-08-02 14:00:00,183888.0,Intero Comune
2024-08-02 14:30:00,182067.0,Intero Comune
2024-08-02 15:00:00,180436.0,Intero Comune
2024-08-02 15:30:00,179679.5,Intero Comune
2024-08-02 16:00:00,178805.0,Intero Comune
2024-08-02 16:30:00,178170.0,Intero Comune
2024-08-02 17:00:00,177269.0,Intero Comune
2024-08-02 17:30:00,176478.0,Intero Comune
2024-08-02 18:00:00,175902.5,Intero Comune
2024-08-02 18:30:00,175255.0,Intero Comune
2024-08-02 19:00:00,175207.0,Intero Comune
2024-08-02 19:30:00,174655.5,Intero Comune
2024-08-02 20:00:00,174838.0,Intero Comune
2024-08-02 20:30:00,174394.0,Intero Comune
2024-08-02 21:00:00,174206.0,Intero Comune
2024-08-02 21:30:00,173878.0,Intero Comune
2024-08-02 22:00:00,173423.5,Intero Comune
2024-08-02 22:30:00,172861.5,Intero Comune
2024-08-02 23:00:00,171661.0,Intero Comune
2024-08-02 23:30:00,170457.0,Intero Comune
2024-08-03 00:00:00,164199.5,Intero Comune
2024-08-03 00:30:00,163233.5,Intero Comune
2024-08-03 01:00:00,162176.5,Intero Comune
2024-08-03 01:30:00,161645.5,Intero Comune
2024-08-03 02:00:00,160737.5,Intero Comune
2024-08-03 02:30:00,160244.0,Intero Comune
2024-08-03 03:00:00,159697.5,Intero Comune
2024-08-03 03:30:00,158904.5,Intero Comune
2024-08-03 04:00:00,158365.0,Intero Comune
2024-08-03 04:30:00,157938.5,Intero Comune
2024-08-03 05:00:00,157662.0,Intero Comune
2024-08-03 05:30:00,157536.0,Intero Comune
