id,hum,pres,rain_1h,wind_speed,wind_deg,clouds_all,ts_get,max_temp,min_temp,ave_temp,cod_weather
41752,62,1013,0,1.54,360,0,2024-08-01 00:00:02,28.21,25.46,27.35,800
41753,60,1013,0,1.03,0,0,2024-08-01 01:00:01,27.66,24.81,26.85,800
41754,66,1013,0,1.54,10,0,2024-08-01 02:00:03,27.1,23.81,26.16,800
41755,61,1012,0,1.03,0,0,2024-08-01 03:00:02,25.97,23.79,24.97,800
41756,62,1013,0,1.54,50,0,2024-08-01 04:00:03,25.97,22.81,24.87,800
41757,51,1013,0,0.45,202,0,2024-08-01 05:00:02,25.97,25.44,25.44,800
41758,47,1013,0,0.45,176,0,2024-08-01 06:00:03,27.66,27.64,27.66,800
41759,58,1013,0,1.54,150,0,2024-08-01 07:00:05,29.32,27.81,29.23,800
41760,59,1013,0,2.57,180,0,2024-08-01 08:00:02,30.44,28.81,30.26,800
41761,65,1013,0,3.09,170,0,2024-08-01 09:00:02,29.88,29.81,29.88,800
41762,49,1013,0,4.63,150,0,2024-08-01 10:00:03,32.66,30.81,32.4,800
41763,46,1013,0,5.14,150,0,2024-08-01 11:00:03,32.1,30.97,31.93,800
41764,38,1012,0,5.14,160,0,2024-08-01 12:00:02,33.81,32.64,32.66,800
41765,41,1012,0,4.12,170,0,2024-08-01 13:00:03,33.81,32.08,32.57,800
41766,48,1011,0,5.14,160,0,2024-08-01 14:00:02,33.81,32.64,32.66,800
41767,54,1011,0,5.66,150,0,2024-08-01 15:00:02,32.81,31.53,32.49,800
41768,58,1010,0,6.17,150,0,2024-08-01 16:00:02,31.81,30.97,30.99,800
41769,53,1010,0,5.66,140,0,2024-08-01 17:00:03,31.81,30.99,31.08,800
41770,54,1011,0,4.63,160,0,2024-08-01 18:00:05,31.81,30.44,30.53,800
41771,45,1011,0,3.09,160,0,2024-08-01 19:00:02,30.81,30.81,30.81,800
41772,58,1012,0,1.54,170,0,2024-08-01 20:00:09,30.98,28.81,29.41,800
41773,61,1012,0,1.54,160,0,2024-08-01 21:00:03,28.81,28.79,28.81,800
41774,69,1012,0,1.03,220,0,2024-08-01 22:00:03,27.81,27.68,27.81,800
41775,57,1012,0,0.51,0,0,2024-08-01 23:00:02,28.21,26.57,27.62,800
41776,50,1011,0,1.54,350,0,2024-08-02 00:00:02,28.21,25.46,27.53,800
41777,47,1010,0,1.03,340,0,2024-08-02 01:00:02,27.66,24.81,26.85,800
41778,45,1010,0,0.89,92,0,2024-08-02 02:00:02,27.66,24.9,27.4,800
41779,45,1010,0,0.89,343,0,2024-08-02 03:00:02,27.1,24.34,26.84,800
41780,46,1009,0,1.34,322,0,2024-08-02 04:00:02,27.1,25.97,27.1,800
41781,43,1010,0,0.89,296,0,2024-08-02 05:00:02,26.55,25.42,26.55,800
41782,41,1010,0,2.57,350,0,2024-08-02 06:00:05,27.1,21.81,27.1,800
41783,61,1009,0,2.57,320,0,2024-08-02 07:00:02,24.81,24.81,24.81,800
41784,29,1009,0,0.89,339,0,2024-08-02 08:00:02,32.64,32.1,32.1,800
41785,24,1009,0,0.45,355,0,2024-08-02 09:00:04,36.53,35.44,35.94,800
41786,16,1009,0,2.57,290,0,2024-08-02 10:00:03,38.77,35.81,38.77,800
41787,38,1008,0,2.68,200,0,2024-08-02 11:00:03,38.81,34.32,34.32,800
41788,36,1008,0,4.12,160,0,2024-08-02 12:00:03,35.81,34.32,34.32,800
41789,43,1008,0,5.14,180,0,2024-08-02 13:00:02,34.81,33.77,33.77,800
41790,41,1007,0,6.17,150,0,2024-08-02 14:00:03,33.77,31.81,33.77,800
41791,51,1007,0,4.63,160,0,2024-08-02 15:00:03,32.1,31.81,32.1,800
41792,40,1007,0,3.6,160,0,2024-08-02 16:00:03,33.81,33.19,33.19,800
41793,43,1006,0,4.12,120,0,2024-08-02 17:00:03,33.81,31.02,33.81,800
41794,60,1007,0,2.57,210,0,2024-08-02 18:00:03,31.81,31.53,31.53,800
41795,44,1007,0,3.6,360,0,2024-08-02 19:00:03,32.81,31.53,31.9,800
41796,47,1008,0,1.54,340,0,2024-08-02 20:00:02,31.81,29.9,31.36,800
41797,45,1007,0,2.57,280,0,2024-08-02 21:00:02,32.66,29.34,31.51,800
41798,56,1007,0,1.34,104,0,2024-08-02 22:00:02,30.81,28.79,30.17,800
41799,61,1007,0,1.79,15,0,2024-08-02 23:00:02,29.81,28.75,29.25,800
41800,60,1008,0,3.6,360,0,2024-08-03 00:00:02,28.77,27.68,28.49,800
41801,57,1007,0,7.15,306,0,2024-08-03 01:00:01,28.77,27.12,28.31,800
41802,60,1005,1,5.14,360,0,2024-08-03 02:00:02,28.21,27.12,28.09,500
41803,53,1006,1,6.69,310,0,2024-08-03 03:00:02,28.21,27.81,28.21,500
41804,56,1007,0,5.14,40,0,2024-08-03 04:00:02,28.77,27.81,28.77,800
41805,61,1007,0.15,6.17,230,40,2024-08-03 05:00:02,29.9,28.81,28.81,211
41806,62,1007,0.15,4.63,70,40,2024-08-03 06:00:02,27.81,25.97,26.93,200
41807,68,1007,0,7.2,130,40,2024-08-03 07:00:01,26.01,25.42,25.76,802
41808,74,1007,0,6.17,320,20,2024-08-03 08:00:02,28.21,25.98,27.71,801
41809,60,1007,0,3.6,190,20,2024-08-03 09:00:03,29.88,29.81,29.88,801
41810,56,1007,0,2.68,236,20,2024-08-03 10:00:02,30.97,30.44,30.53,801
41811,49,1007,0,4.12,190,20,2024-08-03 11:00:02,33.23,31.53,32.12,801
41812,53,1007,0,6.17,150,20,2024-08-03 12:00:03,32.81,31.55,31.64,801
41813,55,1007,0,4.63,170,20,2024-08-03 13:00:02,31.81,30.42,31.38,801
41814,55,1006,0,4.12,150,20,2024-08-03 14:00:02,31.81,30.97,31.46,801
41815,52,1006,0,3.09,150,40,2024-08-03 15:00:02,33.81,32.08,32.1,802
41816,40,1006,0,6.17,320,20,2024-08-03 16:00:03,34.81,33.77,33.86,801
41817,46,1007,0,6.69,340,0,2024-08-03 17:00:02,32.81,31.53,32.01,800
41818,56,1008,0,6.69,340,0,2024-08-03 18:00:02,30.81,29.86,30.35,800
41819,64,1008,0,7.2,340,0,2024-08-03 19:00:03,28.81,28.19,28.68,800
41820,68,1009,0,7.2,360,0,2024-08-03 20:00:02,27.81,27.08,27.57,800
41821,70,1010,0,7.2,10,0,2024-08-03 21:00:02,27.1,26.53,27.01,800
41822,69,1010,0,7.72,20,0,2024-08-03 22:00:02,25.99,25.81,25.99,800
41823,70,1010,0,7.2,10,0,2024-08-03 23:00:01,25.99,25.42,25.9,800
41824,75,1010,0,7.72,360,0,2024-08-04 00:00:02,25.98,24.81,25.12,800
41825,71,1010,0,6.69,360,0,2024-08-04 01:00:02,24.88,24.81,24.88,800
41826,73,1010,0,5.66,10,0,2024-08-04 02:00:02,24.88,23.81,24.79,800
41827,72,1010,0,5.66,10,0,2024-08-04 03:00:02,24.32,23.81,24.32,800
41828,73,1010,0,5.14,20,0,2024-08-04 04:00:02,24.32,23.81,24.32,800
41829,78,1010,0,6.17,20,0,2024-08-04 05:00:02,25.46,23.77,23.96,800
41830,76,1011,0,5.66,10,0,2024-08-04 06:00:02,26.01,23.81,24.57,800
41831,73,1011,0,6.69,360,0,2024-08-04 07:00:03,27.12,24.81,25.65,800
41832,63,1011,0,7.2,10,0,2024-08-04 08:00:03,28.79,27.1,27.48,800
41833,51,1011,0,5.66,340,0,2024-08-04 09:00:02,31.01,29.32,29.82,800
41834,42,1011,0,7.2,350,0,2024-08-04 10:00:02,33.23,30.99,31.58,800
41835,33,1010,0,7.2,10,0,2024-08-04 11:00:05,34.9,32.66,33.16,800
41836,32,1010,0,6.69,10,0,2024-08-04 12:00:03,34.81,32.68,34.24,800
41837,31,1010,0,4.47,22,0,2024-08-04 13:00:02,34.3,33.23,34.02,800
41838,32,1009,0,7.72,10,0,2024-08-04 14:00:02,34.81,33.21,33.84,800
41839,34,1009,0,6.17,340,0,2024-08-04 15:00:02,33.81,33.19,33.21,800
41840,42,1009,0,6.69,320,0,2024-08-04 16:00:03,32.81,30.98,31.99,800
41841,46,1009,0,5.66,320,0,2024-08-04 17:00:02,30.81,30.42,30.44,800
41842,52,1010,0,7.2,360,0,2024-08-04 18:00:02,28.81,28.75,28.77,800
41843,58,1010,0,7.2,350,0,2024-08-04 19:00:02,27.1,26.81,27.1,800
41844,63,1011,0,7.2,360,0,2024-08-04 20:00:02,26.55,25.81,26.46,800
41845,67,1011,0,4.63,350,0,2024-08-04 21:00:03,25.99,24.81,25.9,800
41846,70,1011,0,4.63,360,0,2024-08-04 22:00:02,25.44,24.81,25.35,800
41847,71,1011,0,4.63,360,0,2024-08-04 23:00:02,24.88,23.81,24.88,800
41848,73,1011,0,4.47,348,0,2024-08-05 00:00:02,24.88,23.81,24.79,800
41849,78,1011,0,3.6,350,0,2024-08-05 01:00:02,26.01,23.81,24.39,800
41850,80,1011,0,4.12,360,0,2024-08-05 02:00:03,25.46,23.81,24.17,800
41851,80,1010,0,3.58,329,0,2024-08-05 03:00:02,25.46,23.75,23.99,800
41852,80,1011,0,3.13,325,0,2024-08-05 04:00:03,24.9,22.81,23.71,800
41853,78,1011,0,3.09,330,0,2024-08-05 05:00:02,24.34,22.81,23.89,800
41854,72,1012,0,3.13,338,0,2024-08-05 06:00:03,25.42,24.34,25.13,800
41855,66,1012,0,4.12,360,0,2024-08-05 07:00:04,26.53,25.81,26.08,800
41856,66,1012,0,5.14,350,0,2024-08-05 08:00:03,28.19,26.81,27.61,800
41857,54,1012,0,4.12,360,0,2024-08-05 09:00:02,31.01,29.81,29.86,800
41858,47,1012,0,3.6,340,0,2024-08-05 10:00:02,31.55,30.81,31.15,800
41859,44,1011,0,2.68,161,0,2024-08-05 11:00:02,32.81,30.42,31.75,800
41860,61,1011,0,2.68,183,2,2024-08-05 12:00:03,31.57,28.75,29.37,800
41861,52,1011,0,4.63,190,0,2024-08-05 13:00:02,31.81,28.75,30.06,800
41862,47,1010,0,5.14,180,0,2024-08-05 14:00:02,32.12,30.44,31.02,800
41863,45,1010,0,4.63,170,0,2024-08-05 15:00:05,31.81,31.55,31.66,800
41864,54,1010,0,5.66,150,0,2024-08-05 16:00:03,31.57,29.3,29.74,800
41865,47,1010,0,3.6,140,0,2024-08-05 17:00:02,31.81,29.88,30.61,800
41866,49,1011,0,3.09,120,0,2024-08-05 18:00:02,30.81,29.3,29.74,800
41867,56,1011,0,0.45,126,100,2024-08-05 19:00:02,28.79,28.75,28.76,804
41868,51,1012,0,4.12,10,0,2024-08-05 20:00:03,28.81,28.23,28.78,800
41869,64,1012,0,3.6,10,0,2024-08-05 21:00:02,27.68,26.81,27.42,800
41870,65,1012,0,5.14,30,0,2024-08-05 22:00:05,27.1,26.57,27.01,800
41871,67,1012,0,5.66,30,0,2024-08-05 23:00:02,26.55,25.81,26.15,800
41872,72,1011,0,5.14,10,0,2024-08-06 00:00:03,25.99,24.81,25.47,800
41873,71,1011,0,4.12,30,0,2024-08-06 01:00:02,25.44,24.81,25.07,800
41874,68,1011,0,5.14,10,0,2024-08-06 02:00:02,25.81,24.34,25.36,800
41875,71,1011,0,3.13,329,3,2024-08-06 03:00:02,24.88,23.79,24.62,800
41876,71,1011,0,3.13,322,0,2024-08-06 04:00:02,24.88,23.23,24.21,800
41877,74,1011,0,3.6,330,0,2024-08-06 05:00:03,24.88,22.68,23.93,800
41878,67,1012,0,3.13,12,0,2024-08-06 06:00:02,25.42,22.81,24.5,800
41879,59,1012,0,3.09,320,0,2024-08-06 07:00:02,27.64,23.81,26.25,800
41880,52,1012,0,3.6,340,0,2024-08-06 08:00:02,29.86,27.81,28.86,800
41881,43,1012,0,3.09,310,0,2024-08-06 09:00:03,31.01,29.81,30.26,800
41882,43,1012,0,2.57,310,0,2024-08-06 10:00:02,31.81,30.42,31.26,800
41883,48,1011,0,3.09,190,0,2024-08-06 11:00:06,32.81,29.86,31.36,800
41884,40,1011,0,4.63,170,0,2024-08-06 12:00:02,32.66,31.81,32.3,800
41885,55,1011,0,4.63,180,0,2024-08-06 13:00:02,32.12,30.81,30.92,800
41886,45,1011,0,4.63,180,0,2024-08-06 14:00:03,32.68,30.44,31.02,800
41887,42,1010,0,6.17,180,0,2024-08-06 15:00:02,33.23,30.81,31.24,800
41888,51,1010,0,5.66,150,0,2024-08-06 16:00:02,29.88,28.75,29.71,800
41889,55,1010,0,5.66,150,0,2024-08-06 17:00:03,31.01,28.75,29.06,800
41890,55,1011,0,4.12,110,0,2024-08-06 18:00:02,29.9,28.21,28.84,800
41891,58,1011,0,2.57,90,0,2024-08-06 19:00:03,28.81,28.19,28.38,800
41892,55,1012,0,3.6,10,0,2024-08-06 20:00:03,28.19,27.66,27.88,800
41893,63,1012,0,2.57,10,0,2024-08-06 21:00:03,27.12,25.81,26.64,800
41894,71,1012,0,3.6,360,0,2024-08-06 22:00:01,26.57,24.81,25.87,800
