id,hum,pres,rain_1h,wind_speed,wind_deg,clouds_all,max_temp,min_temp,ave_temp,cod_weather,ts_get
42639,70,1012,0.0,2.57,200,0,27.66,26.53,27.49,800,2024-09-07 00:00:02
42640,68,1011,0.0,0.51,0,20,26.81,26.53,26.55,801,2024-09-07 01:00:02
42641,74,1011,0.0,1.03,60,0,26.55,23.79,25.87,800,2024-09-07 02:00:02
42642,75,1011,0.0,0.51,0,0,25.97,23.79,25.15,800,2024-09-07 03:00:02
42643,76,1011,0.0,1.54,40,0,25.44,23.79,24.97,800,2024-09-07 04:00:02
42644,76,1012,0.0,2.57,350,0,25.44,23.23,24.97,800,2024-09-07 05:00:02
42645,78,1012,0.0,3.09,290,0,25.99,23.79,25.19,800,2024-09-07 06:00:02
42646,70,1012,0.0,2.06,70,0,27.08,24.81,26.16,800,2024-09-07 07:00:02
42647,65,1012,0.0,2.57,140,0,28.75,27.81,28.3,800,2024-09-07 08:00:01
42648,61,1013,0.0,2.06,180,0,31.53,28.79,30.69,800,2024-09-07 09:00:02
42649,60,1013,0.0,3.6,210,0,31.53,30.44,30.9,800,2024-09-07 10:00:03
42650,59,1013,0.0,5.66,200,0,32.81,31.53,31.9,800,2024-09-07 11:00:02
42651,61,1013,0.0,6.69,200,0,32.12,31.53,31.83,800,2024-09-07 12:00:03
42652,60,1013,0.0,5.66,170,0,32.81,31.01,32.12,800,2024-09-07 13:00:02
42653,64,1013,0.0,6.69,170,0,32.12,30.97,31.22,800,2024-09-07 14:00:02
42654,67,1013,0.0,6.69,160,0,31.57,30.44,30.72,800,2024-09-07 15:00:02
42655,68,1013,0.0,5.14,190,0,30.42,29.81,29.97,800,2024-09-07 16:00:03
42656,69,1013,0.0,4.12,180,0,29.88,28.81,29.88,800,2024-09-07 17:00:03
42657,73,1013,0.0,4.63,180,20,28.77,27.81,28.77,801,2024-09-07 18:00:02
42658,79,1014,0.0,4.12,170,0,28.79,27.81,28.28,800,2024-09-07 19:00:02
42659,77,1014,0.0,3.6,170,20,28.75,27.68,28.28,801,2024-09-07 20:00:02
42660,74,1014,0.0,4.12,160,20,28.75,26.57,28.28,801,2024-09-07 21:00:02
42661,68,1014,0.0,4.12,160,20,28.75,27.81,28.3,801,2024-09-07 22:00:02
42662,68,1013,0.0,2.57,150,0,28.75,27.66,27.83,800,2024-09-07 23:00:01
42663,68,1013,0.0,0.45,150,42,28.19,25.46,27.91,802,2024-09-08 00:00:03
42664,70,1012,0.0,2.05,135,66,28.19,25.46,27.91,803,2024-09-08 01:00:01
42665,68,1012,0.0,1.54,180,0,28.19,26.81,27.75,800,2024-09-08 02:00:03
42666,64,1011,0.0,1.03,290,0,27.66,25.81,27.66,800,2024-09-08 03:00:02
42667,66,1011,0.0,1.54,240,0,27.66,26.81,27.57,800,2024-09-08 04:00:02
42668,68,1011,0.0,1.03,180,0,27.1,25.81,27.01,800,2024-09-08 05:00:01
42669,67,1012,0.0,2.06,180,0,27.66,26.81,27.66,800,2024-09-08 06:00:01
42670,68,1012,0.0,2.57,170,0,29.3,27.81,28.86,800,2024-09-08 07:00:03
42671,67,1012,0.0,3.6,160,0,29.86,28.81,29.41,800,2024-09-08 08:00:03
42672,67,1011,0.0,4.12,160,0,30.81,29.34,30.54,800,2024-09-08 09:00:01
42673,67,1011,0.0,4.63,160,100,30.99,29.81,30.65,804,2024-09-08 10:00:03
42674,68,1010,0.0,5.14,180,0,30.99,30.42,30.76,800,2024-09-08 11:00:03
42675,69,1010,0.0,6.17,160,0,31.01,29.81,30.26,800,2024-09-08 12:00:02
42676,66,1009,0.0,6.17,150,0,31.81,30.44,31.0,800,2024-09-08 13:00:02
42677,68,1008,0.0,5.66,170,0,31.81,29.86,30.86,800,2024-09-08 14:00:03
42678,73,1007,0.0,6.69,170,0,30.81,29.86,30.36,800,2024-09-08 15:00:01
42679,75,1007,0.0,6.17,160,0,31.01,29.3,29.67,800,2024-09-08 16:00:02
42680,75,1007,0.18,3.6,150,0,30.46,28.75,29.06,500,2024-09-08 17:00:02
42681,77,1008,0.0,2.68,322,20,29.9,28.19,28.38,801,2024-09-08 18:00:02
42682,75,1009,0.0,7.72,20,20,26.81,26.53,26.55,801,2024-09-08 19:00:02
42683,73,1009,0.28,6.17,360,20,25.44,24.81,25.44,500,2024-09-08 20:00:02
42684,78,1009,0.0,6.17,10,40,23.77,22.81,23.68,802,2024-09-08 21:00:02
42685,83,1009,0.0,2.68,283,40,23.79,22.81,23.49,802,2024-09-08 22:00:02
42686,84,1009,0.42,4.12,360,20,23.79,22.81,23.49,500,2024-09-08 23:00:03
42687,85,1010,0.0,2.68,311,20,24.34,22.81,23.31,801,2024-09-09 00:00:03
42688,84,1010,0.0,3.09,350,20,23.79,22.81,23.31,801,2024-09-09 01:00:02
42689,80,1009,0.0,3.09,20,20,24.34,23.19,23.59,801,2024-09-09 02:00:02
42690,80,1009,0.0,3.09,20,40,24.34,23.19,23.59,802,2024-09-09 03:00:02
42691,82,1009,0.0,4.63,10,40,24.34,22.64,22.91,802,2024-09-09 04:00:03
42692,80,1010,0.0,4.63,340,20,24.34,22.64,22.91,801,2024-09-09 05:00:02
42693,78,1010,0.0,4.12,340,20,23.79,21.81,22.63,801,2024-09-09 06:00:03
42694,71,1010,0.0,5.66,340,0,24.34,23.75,23.78,800,2024-09-09 07:00:02
42695,65,1011,0.0,7.2,350,20,24.9,24.81,24.86,801,2024-09-09 08:00:02
42696,56,1011,0.0,7.72,350,20,25.99,25.42,25.76,801,2024-09-09 09:00:02
42697,51,1011,0.0,8.23,350,20,26.81,26.53,26.62,801,2024-09-09 10:00:04
42698,46,1011,0.0,7.72,340,20,27.81,27.08,27.52,801,2024-09-09 11:00:02
42699,41,1010,0.0,10.29,340,20,28.23,27.64,27.7,801,2024-09-09 12:00:03
42700,38,1010,0.0,10.29,340,20,28.23,27.64,27.91,801,2024-09-09 13:00:03
42701,43,1010,0.0,9.26,340,20,28.23,26.81,27.01,801,2024-09-09 14:00:03
42702,42,1010,0.0,9.77,340,20,27.81,26.53,27.12,801,2024-09-09 15:00:02
42703,44,1010,0.0,10.29,350,20,26.81,25.97,26.44,801,2024-09-09 16:00:02
42704,49,1010,0.0,9.26,330,20,26.01,25.42,25.54,801,2024-09-09 17:00:02
42705,56,1010,0.0,8.23,340,20,24.81,24.3,24.46,801,2024-09-09 18:00:02
42706,57,1011,0.0,4.92,350,20,23.81,23.75,23.78,801,2024-09-09 19:00:03
42707,59,1011,0.0,6.17,340,20,23.81,23.19,23.59,801,2024-09-09 20:00:02
42708,61,1012,0.0,7.72,340,0,23.77,22.81,23.31,800,2024-09-09 21:00:02
42709,60,1011,0.0,7.72,340,0,23.81,23.19,23.59,800,2024-09-09 22:00:03
42710,59,1011,0.0,9.77,340,0,23.81,23.19,23.59,800,2024-09-09 23:00:02
42711,57,1011,0.0,9.26,330,0,23.81,23.75,23.78,800,2024-09-10 00:00:03
42712,59,1011,0.0,8.75,340,0,23.81,23.19,23.59,800,2024-09-10 01:00:02
42713,60,1010,0.0,4.02,333,3,23.77,23.19,23.51,800,2024-09-10 02:00:03
42714,62,1010,0.0,6.69,340,20,23.23,22.64,22.91,801,2024-09-10 03:00:02
42715,61,1010,0.0,5.66,350,20,23.23,22.64,22.91,801,2024-09-10 04:00:02
42716,62,1011,0.0,6.17,350,20,22.81,22.64,22.7,801,2024-09-10 05:00:03
42717,63,1011,0.0,6.69,340,20,22.81,22.08,22.52,801,2024-09-10 06:00:02
42718,60,1011,0.0,6.69,350,20,23.81,23.23,23.78,801,2024-09-10 07:00:02
42719,55,1012,0.0,7.72,350,40,24.86,23.81,24.35,802,2024-09-10 08:00:02
42720,49,1012,0.0,10.29,360,40,25.97,25.44,25.72,802,2024-09-10 09:00:03
42721,47,1012,0.0,10.8,350,20,26.57,25.81,26.12,801,2024-09-10 10:00:02
42722,47,1011,0.0,11.83,360,20,27.12,26.53,26.62,801,2024-09-10 11:00:02
42723,46,1011,0.0,10.8,360,20,27.68,26.53,26.62,801,2024-09-10 12:00:02
42724,46,1011,0.0,11.83,360,20,28.23,25.99,26.69,801,2024-09-10 13:00:02
42725,41,1011,0.0,10.8,360,40,26.81,25.99,26.08,802,2024-09-10 14:00:02
42726,42,1011,0.0,9.77,340,40,26.81,25.97,25.99,802,2024-09-10 15:00:02
42727,43,1011,0.0,7.72,350,20,27.68,25.42,25.82,801,2024-09-10 16:00:02
42728,47,1011,0.0,8.75,350,0,26.01,24.3,24.67,800,2024-09-10 17:00:02
42729,53,1012,0.0,7.72,340,20,24.34,23.19,23.38,801,2024-09-10 18:00:02
42730,57,1013,0.0,5.66,350,20,23.23,22.08,22.52,801,2024-09-10 19:00:03
42731,61,1013,0.0,5.66,360,0,22.12,21.53,21.83,800,2024-09-10 20:00:02
42732,64,1013,0.0,6.17,10,0,21.57,20.81,21.15,800,2024-09-10 21:00:02
42733,64,1013,0.0,7.2,10,0,21.57,20.81,21.15,800,2024-09-10 22:00:02
42734,64,1013,0.0,6.17,20,0,21.01,20.81,20.94,800,2024-09-10 23:00:02
